,name,id,height,weight,base_experience,stats,types,url
78,slowpoke,79,12,360,63,"{'hp': 90, 'attack': 65, 'defense': 65, 'special-attack': 40, 'special-defense': 40, 'speed': 15}","['water', 'psychic']",https://pokeapi.co/api/v2/pokemon/79/
79,slowbro,80,16,785,172,"{'hp': 95, 'attack': 75, 'defense': 110, 'special-attack': 100, 'special-defense': 80, 'speed': 30}","['water', 'psychic']",https://pokeapi.co/api/v2/pokemon/80/
80,magnemite,81,3,60,65,"{'hp': 25, 'attack': 35, 'defense': 70, 'special-attack': 95, 'special-defense': 55, 'speed': 45}","['electric', 'steel']",https://pokeapi.co/api/v2/pokemon/81/
81,magneton,82,10,600,163,"{'hp': 50, 'attack': 60, 'defense': 95, 'special-attack': 120, 'special-defense': 70, 'speed': 70}","['electric', 'steel']",https://pokeapi.co/api/v2/pokemon/82/
82,farfetchd,83,8,150,132,"{'hp': 52, 'attack': 90, 'defense': 55, 'special-attack': 58, 'special-defense': 62, 'speed': 60}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/83/
83,doduo,84,14,392,62,"{'hp': 35, 'attack': 85, 'defense': 45, 'special-attack': 35, 'special-defense': 35, 'speed': 75}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/84/
84,dodrio,85,18,852,165,"{'hp': 60, 'attack': 110, 'defense': 70, 'special-attack': 60, 'special-defense': 60, 'speed': 110}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/85/
85,seel,86,11,900,65,"{'hp': 65, 'attack': 45, 'defense': 55, 'special-attack': 45, 'special-defense': 70, 'speed': 45}",['water'],https://pokeapi.co/api/v2/pokemon/86/
86,dewgong,87,17,1200,166,"{'hp': 90, 'attack': 70, 'defense': 80, 'special-attack': 70, 'special-defense': 95, 'speed': 70}","['water', 'ice']",https://pokeapi.co/api/v2/pokemon/87/
87,grimer,88,9,300,65,"{'hp': 80, 'attack': 80, 'defense': 50, 'special-attack': 40, 'special-defense': 50, 'speed': 25}",['poison'],https://pokeapi.co/api/v2/pokemon/88/
88,muk,89,12,300,175,"{'hp': 105, 'attack': 105, 'defense': 75, 'special-attack': 65, 'special-defense': 100, 'speed': 50}",['poison'],https://pokeapi.co/api/v2/pokemon/89/
89,shellder,90,3,40,61,"{'hp': 30, 'attack': 65, 'defense': 100, 'special-attack': 45, 'special-defense': 25, 'speed': 40}",['water'],https://pokeapi.co/api/v2/pokemon/90/
90,cloyster,91,15,1325,184,"{'hp': 50, 'attack': 95, 'defense': 180, 'special-attack': 85, 'special-defense': 45, 'speed': 70}","['water', 'ice']",https://pokeapi.co/api/v2/pokemon/91/
91,gastly,92,13,1,62,"{'hp': 30, 'attack': 35, 'defense': 30, 'special-attack': 100, 'special-defense': 35, 'speed': 80}","['ghost', 'poison']",https://pokeapi.co/api/v2/pokemon/92/
92,haunter,93,16,1,142,"{'hp': 45, 'attack': 50, 'defense': 45, 'special-attack': 115, 'special-defense': 55, 'speed': 95}","['ghost', 'poison']",https://pokeapi.co/api/v2/pokemon/93/
93,gengar,94,15,405,250,"{'hp': 60, 'attack': 65, 'defense': 60, 'special-attack': 130, 'special-defense': 75, 'speed': 110}","['ghost', 'poison']",https://pokeapi.co/api/v2/pokemon/94/
94,onix,95,88,2100,77,"{'hp': 35, 'attack': 45, 'defense': 160, 'special-attack': 30, 'special-defense': 45, 'speed': 70}","['rock', 'ground']",https://pokeapi.co/api/v2/pokemon/95/
95,drowzee,96,10,324,66,"{'hp': 60, 'attack': 48, 'defense': 45, 'special-attack': 43, 'special-defense': 90, 'speed': 42}",['psychic'],https://pokeapi.co/api/v2/pokemon/96/
96,hypno,97,16,756,169,"{'hp': 85, 'attack': 73, 'defense': 70, 'special-attack': 73, 'special-defense': 115, 'speed': 67}",['psychic'],https://pokeapi.co/api/v2/pokemon/97/
97,krabby,98,4,65,65,"{'hp': 30, 'attack': 105, 'defense': 90, 'special-attack': 25, 'special-defense': 25, 'speed': 50}",['water'],https://pokeapi.co/api/v2/pokemon/98/
98,kingler,99,13,600,166,"{'hp': 55, 'attack': 130, 'defense': 115, 'special-attack': 50, 'special-defense': 50, 'speed': 75}",['water'],https://pokeapi.co/api/v2/pokemon/99/
99,voltorb,100,5,104,66,"{'hp': 40, 'attack': 30, 'defense': 50, 'special-attack': 55, 'special-defense': 55, 'speed': 100}",['electric'],https://pokeapi.co/api/v2/pokemon/100/
100,electrode,101,12,666,172,"{'hp': 60, 'attack': 50, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 150}",['electric'],https://pokeapi.co/api/v2/pokemon/101/
101,exeggcute,102,4,25,65,"{'hp': 60, 'attack': 40, 'defense': 80, 'special-attack': 60, 'special-defense': 45, 'speed': 40}","['grass', 'psychic']",https://pokeapi.co/api/v2/pokemon/102/
102,exeggutor,103,20,1200,186,"{'hp': 95, 'attack': 95, 'defense': 85, 'special-attack': 125, 'special-defense': 75, 'speed': 55}","['grass', 'psychic']",https://pokeapi.co/api/v2/pokemon/103/
103,cubone,104,4,65,64,"{'hp': 50, 'attack': 50, 'defense': 95, 'special-attack': 40, 'special-defense': 50, 'speed': 35}",['ground'],https://pokeapi.co/api/v2/pokemon/104/
104,marowak,105,10,450,149,"{'hp': 60, 'attack': 80, 'defense': 110, 'special-attack': 50, 'special-defense': 80, 'speed': 45}",['ground'],https://pokeapi.co/api/v2/pokemon/105/
105,hitmonlee,106,15,498,159,"{'hp': 50, 'attack': 120, 'defense': 53, 'special-attack': 35, 'special-defense': 110, 'speed': 87}",['fighting'],https://pokeapi.co/api/v2/pokemon/106/
106,hitmonchan,107,14,502,159,"{'hp': 50, 'attack': 105, 'defense': 79, 'special-attack': 35, 'special-defense': 110, 'speed': 76}",['fighting'],https://pokeapi.co/api/v2/pokemon/107/
107,lickitung,108,12,655,77,"{'hp': 90, 'attack': 55, 'defense': 75, 'special-attack': 60, 'special-defense': 75, 'speed': 30}",['normal'],https://pokeapi.co/api/v2/pokemon/108/
108,koffing,109,6,10,68,"{'hp': 40, 'attack': 65, 'defense': 95, 'special-attack': 60, 'special-defense': 45, 'speed': 35}",['poison'],https://pokeapi.co/api/v2/pokemon/109/
109,weezing,110,12,95,172,"{'hp': 65, 'attack': 90, 'defense': 120, 'special-attack': 85, 'special-defense': 70, 'speed': 60}",['poison'],https://pokeapi.co/api/v2/pokemon/110/
110,rhyhorn,111,10,1150,69,"{'hp': 80, 'attack': 85, 'defense': 95, 'special-attack': 30, 'special-defense': 30, 'speed': 25}","['ground', 'rock']",https://pokeapi.co/api/v2/pokemon/111/
111,rhydon,112,19,1200,170,"{'hp': 105, 'attack': 130, 'defense': 120, 'special-attack': 45, 'special-defense': 45, 'speed': 40}","['ground', 'rock']",https://pokeapi.co/api/v2/pokemon/112/
112,chansey,113,11,346,395,"{'hp': 250, 'attack': 5, 'defense': 5, 'special-attack': 35, 'special-defense': 105, 'speed': 50}",['normal'],https://pokeapi.co/api/v2/pokemon/113/
113,tangela,114,10,350,87,"{'hp': 65, 'attack': 55, 'defense': 115, 'special-attack': 100, 'special-defense': 40, 'speed': 60}",['grass'],https://pokeapi.co/api/v2/pokemon/114/
114,kangaskhan,115,22,800,172,"{'hp': 105, 'attack': 95, 'defense': 80, 'special-attack': 40, 'special-defense': 80, 'speed': 90}",['normal'],https://pokeapi.co/api/v2/pokemon/115/
115,horsea,116,4,80,59,"{'hp': 30, 'attack': 40, 'defense': 70, 'special-attack': 70, 'special-defense': 25, 'speed': 60}",['water'],https://pokeapi.co/api/v2/pokemon/116/
116,seadra,117,12,250,154,"{'hp': 55, 'attack': 65, 'defense': 95, 'special-attack': 95, 'special-defense': 45, 'speed': 85}",['water'],https://pokeapi.co/api/v2/pokemon/117/
117,goldeen,118,6,150,64,"{'hp': 45, 'attack': 67, 'defense': 60, 'special-attack': 35, 'special-defense': 50, 'speed': 63}",['water'],https://pokeapi.co/api/v2/pokemon/118/
118,seaking,119,13,390,158,"{'hp': 80, 'attack': 92, 'defense': 65, 'special-attack': 65, 'special-defense': 80, 'speed': 68}",['water'],https://pokeapi.co/api/v2/pokemon/119/
119,staryu,120,8,345,68,"{'hp': 30, 'attack': 45, 'defense': 55, 'special-attack': 70, 'special-defense': 55, 'speed': 85}",['water'],https://pokeapi.co/api/v2/pokemon/120/
120,starmie,121,11,800,182,"{'hp': 60, 'attack': 75, 'defense': 85, 'special-attack': 100, 'special-defense': 85, 'speed': 115}","['water', 'psychic']",https://pokeapi.co/api/v2/pokemon/121/
121,mr-mime,122,13,545,161,"{'hp': 40, 'attack': 45, 'defense': 65, 'special-attack': 100, 'special-defense': 120, 'speed': 90}","['psychic', 'fairy']",https://pokeapi.co/api/v2/pokemon/122/
122,scyther,123,15,560,100,"{'hp': 70, 'attack': 110, 'defense': 80, 'special-attack': 55, 'special-defense': 80, 'speed': 105}","['bug', 'flying']",https://pokeapi.co/api/v2/pokemon/123/
123,jynx,124,14,406,159,"{'hp': 65, 'attack': 50, 'defense': 35, 'special-attack': 115, 'special-defense': 95, 'speed': 95}","['ice', 'psychic']",https://pokeapi.co/api/v2/pokemon/124/
124,electabuzz,125,11,300,172,"{'hp': 65, 'attack': 83, 'defense': 57, 'special-attack': 95, 'special-defense': 85, 'speed': 105}",['electric'],https://pokeapi.co/api/v2/pokemon/125/
125,magmar,126,13,445,173,"{'hp': 65, 'attack': 95, 'defense': 57, 'special-attack': 100, 'special-defense': 85, 'speed': 93}",['fire'],https://pokeapi.co/api/v2/pokemon/126/
126,pinsir,127,15,550,175,"{'hp': 65, 'attack': 125, 'defense': 100, 'special-attack': 55, 'special-defense': 70, 'speed': 85}",['bug'],https://pokeapi.co/api/v2/pokemon/127/
127,tauros,128,14,884,172,"{'hp': 75, 'attack': 100, 'defense': 95, 'special-attack': 40, 'special-defense': 70, 'speed': 110}",['normal'],https://pokeapi.co/api/v2/pokemon/128/
128,magikarp,129,9,100,40,"{'hp': 20, 'attack': 10, 'defense': 55, 'special-attack': 15, 'special-defense': 20, 'speed': 80}",['water'],https://pokeapi.co/api/v2/pokemon/129/
129,gyarados,130,65,2350,189,"{'hp': 95, 'attack': 125, 'defense': 79, 'special-attack': 60, 'special-defense': 100, 'speed': 81}","['water', 'flying']",https://pokeapi.co/api/v2/pokemon/130/
130,lapras,131,25,2200,187,"{'hp': 130, 'attack': 85, 'defense': 80, 'special-attack': 85, 'special-defense': 95, 'speed': 60}","['water', 'ice']",https://pokeapi.co/api/v2/pokemon/131/
131,ditto,132,3,40,101,"{'hp': 48, 'attack': 48, 'defense': 48, 'special-attack': 48, 'special-defense': 48, 'speed': 48}",['normal'],https://pokeapi.co/api/v2/pokemon/132/
132,eevee,133,3,65,65,"{'hp': 55, 'attack': 55, 'defense': 50, 'special-attack': 45, 'special-defense': 65, 'speed': 55}",['normal'],https://pokeapi.co/api/v2/pokemon/133/
133,vaporeon,134,10,290,184,"{'hp': 130, 'attack': 65, 'defense': 60, 'special-attack': 110, 'special-defense': 95, 'speed': 65}",['water'],https://pokeapi.co/api/v2/pokemon/134/
134,jolteon,135,8,245,184,"{'hp': 65, 'attack': 65, 'defense': 60, 'special-attack': 110, 'special-defense': 95, 'speed': 130}",['electric'],https://pokeapi.co/api/v2/pokemon/135/
135,flareon,136,9,250,184,"{'hp': 65, 'attack': 130, 'defense': 60, 'special-attack': 95, 'special-defense': 110, 'speed': 65}",['fire'],https://pokeapi.co/api/v2/pokemon/136/
136,porygon,137,8,365,79,"{'hp': 65, 'attack': 60, 'defense': 70, 'special-attack': 85, 'special-defense': 75, 'speed': 40}",['normal'],https://pokeapi.co/api/v2/pokemon/137/
137,omanyte,138,4,75,71,"{'hp': 35, 'attack': 40, 'defense': 100, 'special-attack': 90, 'special-defense': 55, 'speed': 35}","['rock', 'water']",https://pokeapi.co/api/v2/pokemon/138/
138,omastar,139,10,350,173,"{'hp': 70, 'attack': 60, 'defense': 125, 'special-attack': 115, 'special-defense': 70, 'speed': 55}","['rock', 'water']",https://pokeapi.co/api/v2/pokemon/139/
139,kabuto,140,5,115,71,"{'hp': 30, 'attack': 80, 'defense': 90, 'special-attack': 55, 'special-defense': 45, 'speed': 55}","['rock', 'water']",https://pokeapi.co/api/v2/pokemon/140/
